"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",0.77,"Premium","E","SI1",60.4,58,2975,6,5.88,3.59
"2",1.51,"Fair","F","I1",67.8,59,3734,7.09,7,4.78
"3",0.71,"Premium","D","SI1",61.7,56,2863,5.8,5.68,3.54
"4",0.9,"Very Good","H","SI1",62.3,63,3387,6.13,6.06,3.8
"5",1,"Fair","I","SI1",67.9,62,2856,6.19,6.03,4.15
"6",0.92,"Very Good","J","SI1",62.6,58,3170,6.18,6.22,3.88
"7",0.72,"Premium","D","SI2",62,60,2795,5.73,5.69,3.54
"8",0.7,"Very Good","D","VS1",61.6,58,3477,5.67,5.73,3.51
"9",0.95,"Very Good","I","SI1",63.5,58,3378,6.19,6.16,3.92
"10",1.01,"Fair","H","SI1",66.4,57,3546,6.12,6.08,4.05
"11",0.71,"Very Good","E","VS1",63.2,60,3006,5.63,5.6,3.55
"12",1.16,"Ideal","I","SI2",62.8,57,3605,6.8,6.64,4.22
"13",0.36,"Ideal","I","VS1",60.5,57,568,4.56,4.59,2.77
"14",0.7,"Very Good","F","VS1",64.5,58,2925,5.55,5.59,3.59
"15",0.78,"Ideal","G","VS2",62.2,57,3171,5.87,5.9,3.66
"16",1.24,"Very Good","J","I1",61.9,55,2940,6.85,6.92,4.26
"17",0.73,"Very Good","E","VVS2",63.4,58,3511,5.68,5.7,3.61
"18",1.52,"Good","E","I1",57.3,58,3105,7.53,7.42,4.28
"19",0.96,"Ideal","J","VS2",61.5,57,3326,6.32,6.36,3.9
"20",0.7,"Premium","E","VVS1",61.7,59,3294,5.71,5.67,3.51
"21",0.7,"Ideal","F","VS1",60.3,57,3359,5.74,5.79,3.47
"22",0.71,"Ideal","G","VS2",60.6,56,2911,5.76,5.8,3.5
"23",0.76,"Very Good","F","VS2",62,58,2873,5.8,5.86,3.62
"24",0.9,"Ideal","H","SI1",61.5,57,3644,6.17,6.23,3.81
"25",0.82,"Ideal","I","VS1",61.6,57,2986,6,6.05,3.71
"26",0.7,"Ideal","G","IF",60.2,57,3672,5.78,5.84,3.5
"27",0.7,"Very Good","F","VS1",59.9,60,2810,5.77,5.84,3.48
"28",0.71,"Fair","D","VS2",56.9,65,2858,5.89,5.84,3.34
"29",0.71,"Very Good","E","VS2",60.7,56,2795,5.81,5.82,3.53
"30",0.7,"Very Good","F","VVS1",59.3,62,3270,5.74,5.77,3.41
"31",0.76,"Ideal","G","VS2",61.7,54,2954,5.88,5.92,3.64
"32",0.83,"Very Good","I","VS2",62,55,2915,6.03,6.06,3.74
"33",0.8,"Ideal","F","SI2",61.4,56,3064,5.99,5.93,3.66
"34",0.76,"Ideal","H","VS2",61.9,55,3016,5.85,5.88,3.64
"35",0.74,"Very Good","E","VS2",61.8,58,3180,5.79,5.82,3.59
"36",0.8,"Good","F","SI1",63.8,59,2941,5.83,5.87,3.73
"37",0.9,"Premium","H","SI2",58.3,60,3371,6.34,6.31,3.69
"38",0.32,"Very Good","H","VS1",60.5,59,561,4.41,4.42,2.67
"39",1.02,"Good","I","SI2",57.1,62,3342,6.66,6.58,3.78
"40",0.96,"Ideal","F","I1",60.7,55,2826,6.41,6.37,3.88
"41",0.72,"Ideal","G","VS1",61,55,3478,5.81,5.83,3.55
"42",0.94,"Premium","G","SI2",63,59,3099,6.16,6.1,3.86
"43",0.81,"Ideal","H","VS2",61.6,56,3084,6.03,5.98,3.7
"44",0.52,"Ideal","D","VVS1",62,57,3247,5.17,5.15,3.2
"45",0.83,"Very Good","G","SI1",62.3,58,3171,5.97,6.01,3.73
"46",0.84,"Very Good","I","VVS2",61.7,56,3392,6.03,6.07,3.74
"47",0.81,"Ideal","I","VS2",61.8,56,2939,6.02,5.99,3.71
"48",0.92,"Very Good","F","SI2",60.6,63,3534,6.34,6.25,3.81
"49",0.71,"Premium","D","VS2",62.1,60,2950,5.72,5.68,3.54
"50",0.71,"Ideal","E","VS1",62.4,57,3354,5.67,5.71,3.55
"51",0.71,"Ideal","G","IF",60.9,57,3739,5.74,5.79,3.51
"52",0.7,"Ideal","F","SI1",61.9,55,3119,5.7,5.74,3.54
